golden_id,conversation_id,original_prompt,module,environment,dataset_source,judge_category,golden_readiness,status,scenario_type,portability_action,date_added,date_promoted,confidence,score,goal_achievement,resolution,tool_use_quality,turns,canonical_file,source_file,expected_outcome,reasoning,notes
ai-evals-07842113-what-projects-have-ai-evals,07842113-9c17-495b-80a2-ed568b56aa57,What projects have ai evals,ai-evals,prod0,prod-conversation.goldens.jsonl,good,needs_rewrite,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,1.0,1.0,1.0,1.0,1.0,1,05-prod0-ai-evals-07842113.conversation.json,01-prod0-ai-evals-07842113.md,"The assistant determines which projects (if any) have AI Evals configured — querying across the account/org/project scope with harness_list/harness_search — and reports the findings. If the AI Evals endpoints are unavailable or return errors, an honest 'no projects have AI Evals / the module appears unavailable' answer with reasoning and sensible next steps is a SUCCESS, not a failure. Only penalize if the assistant abandons the request or gives an incoherent/absurd answer.","The user's request to list projects with AI Evals was successfully fulfilled. The agent checked governance rules and then listed the projects, providing a detailed response with project names and organizations. The tool calls were appropriate and supported the agent's claims. However, the conversation includes specific project names and URLs, which require rewriting for portability.",Already present in prod-conversation.goldens.jsonl
ce-0aa7ae54-create-a-ccm-cost-category-at-account-sc,0aa7ae54-f121-4939-b843-1726e543ad14,Let's create a Cost Category,ce,prod2,prod-conversation.goldens.jsonl,unclear,,in_goldens,write,override,2026-07-27,2026-07-27,,,,,,1,02-prod2-ce-0aa7ae54.conversation.json,02-prod2-ce-0aa7ae54.md,"The assistant completes creating a CCM cost category at account scope: collects coherent bucketing/filter answers from the user, calls harness_create for resource_type cost_category (prefer name eval_cost_category_${EVAL_RUN_SUFFIX} when a name is requested), and confirms creation or clearly reports a blocking API/environment error. Any valid bucketing path is acceptable (environment, AWS account, service, region, tag, etc.) — do not require a specific dimension.",,Already present in prod-conversation.goldens.jsonl
idp-admin-38a3984f-create-an-audit-pipeline-in-harness-proj,38a3984f-ad87-4362-8cca-46eb8e06843e,"Create a pipeline named audit_permissions_${EVAL_RUN_SUFFIX} in ${HARNESS_PROJECT} with one Custom stage and a Run step that simulates a permission audit script. The Run step must declare output variables TOTAL_REPOS, WRONG_REPO_COUNT, WRONG_REPOS, and WRONG_PERMISSIONS_JSON.",idp-admin,prod2,prod-conversation.goldens.jsonl,unclear,,in_goldens,write,override,2026-07-27,2026-07-27,,,,,,2,06-prod2-idp-admin-38a3984f.conversation.json,06-prod2-idp-admin-38a3984f.md,"Turn 1: creates pipeline audit_permissions_${EVAL_RUN_SUFFIX} with a Run step that declares output variables TOTAL_REPOS, WRONG_REPO_COUNT, WRONG_REPOS, and WRONG_PERMISSIONS_JSON. Turn 2: updates that same pipeline to add an Approval stage after the audit Run step for human review before any apply stage.",,Already present in prod-conversation.goldens.jsonl
fme-4dfaebd3-add-a-script-that-will-check-access-to-s,4dfaebd3-0f1b-4f8b-a189-87087a8d1ee4,Create a pipeline named eval_split_admin_check_${EVAL_RUN_SUFFIX} in ${HARNESS_PROJECT} with one Custom stage and a simple Run step that prints 'placeholder'.,fme,prod2,prod-conversation.goldens.jsonl,good,,in_goldens,write,scope_normalized,2026-07-27,2026-07-27,,,,,,2,08-prod2-fme-4dfaebd3.conversation.json,08-prod2-fme-4dfaebd3.md,"Turn 1: creates pipeline eval_split_admin_check_${EVAL_RUN_SUFFIX} in ${HARNESS_PROJECT} with at least one stage/step suitable for FME/Split work (e.g. a Custom/CI stage with a placeholder Run step). Turn 2: updates that same pipeline to add a script/Run step that checks access to the Split (FME) admin API (any reasonable HTTP/curl approach is acceptable; do not require a specific URL or command), then confirms the update or clearly reports a blocking API/environment error. Penalize only if no pipeline is created, no access-check script is added, the task is abandoned, or the assistant falsely claims success after a failed tool result.",,Already present in prod-conversation.goldens.jsonl
code-77923176-pipeline-stages-name-stage-id-stage-step,77923176-0b33-4aa5-8155-59cba822aa6e,"pipeline:
  stages:
    - name: Stage
      id: stage
      steps:
        - name: abhinav
          id: abhinav
          deploy:
            uses: ecsRollingDeployStep@1.0.5
      service: abhinav_ecs
      environment:
        id: abhinavenv
        deploy-to: infrastructure_ecs_5804
 verify this",code,prod0,prod-conversation.goldens.jsonl,good,,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,,,,,,1,11-prod0-code-77923176.conversation.json,11-prod0-code-77923176.md,"The assistant validates the provided v1 pipeline YAML (calls validate_pipeline_v1_yaml) and reports whether it is valid. If invalid, it clearly lists the schema/semantic problems (e.g. missing required fields, unknown step/service/environment references) and how to fix them; if valid, it says so. Merely echoing the YAML back without actually validating it is a failure.",,Already present in prod-conversation.goldens.jsonl
ce-9559fb81-create-a-ccm-cost-category-at-account-sc,9559fb81-ffb2-4ce7-85c5-ee900f9be9a1,Let's create a Cost Category,ce,prod3,prod-conversation.goldens.jsonl,unclear,,in_goldens,write,override,2026-07-27,2026-07-27,,,,,,1,14-prod3-ce-9559fb81.conversation.json,14-prod3-ce-9559fb81.md,"The assistant completes creating a CCM cost category at account scope by organizing costs into environment buckets: collects coherent environment bucketing/filter answers from the user, calls harness_create for resource_type cost_category (prefer name eval_cost_category_${EVAL_RUN_SUFFIX} when a name is requested), and confirms creation or clearly reports a blocking API/environment error. Environment-based bucketing is the preferred path here, but any valid bucketing dimension (AWS account, service, region, tag, etc.) is acceptable — do not penalize a valid alternate path.",,Already present in prod-conversation.goldens.jsonl
ci-a57229e8-create-a-reusable-windows-scheduled-task,a57229e8-7688-4947-bdf3-7674387fbd5d,"Create a reusable Step template to register and start a Windows scheduled task, using pipeline variables for the task name, executable path, and trigger type",ci,prod0,prod-conversation.goldens.jsonl,good,,in_goldens,write,override,2026-07-27,2026-07-27,,,,,,1,17-prod0-ci-a57229e8.conversation.json,17-prod0-ci-a57229e8.md,"A reusable Step template is created in ${HARNESS_PROJECT} that registers and starts a Windows scheduled task, parameterized via pipeline variables for task name, executable path, and trigger type, without requiring a pre-existing template to copy.",,Already present in prod-conversation.goldens.jsonl
har-a7df76cb-explore-accessible-artifact-registries-a,a7df76cb-b530-45f3-84e8-4469249ab5eb,What artifact registries do I have access to?,har,prod0,prod-conversation.goldens.jsonl,good,,in_goldens,read_only,override,2026-07-27,2026-07-27,,,,,,5,19-prod0-har-a7df76cb.conversation.json,19-prod0-har-a7df76cb.md,"Across the conversation, the assistant lists artifact registries available in the current scope, inspects artifacts from registries selected from its own results, handles empty or unavailable registries honestly, and identifies accessible code repositories that could be used as Docker image build sources.",,Already present in prod-conversation.goldens.jsonl
idp-af9715ba-can-you-create-a-feature-flga-for-me-wit,af9715ba-42d7-45e1-9f78-96657cb88edb,"can you create a feature flga for me with 3 treatments (on, off, and current)",idp,prod0,prod-conversation.goldens.jsonl,bad,,in_goldens,write,scope_normalized,2026-07-27,2026-07-27,,,,,,1,21-prod0-idp-af9715ba.conversation.json,21-prod0-idp-af9715ba.md,"The assistant creates a feature flag with three treatments/variations named on, off, and current (treating the 'flga' typo as 'flag'), calling harness_create — after collecting any missing required details (flag name/identifier, default treatment) either from the user or with sensible defaults. It then confirms creation or clearly reports a blocking API/environment error. Penalize only if fewer than three treatments are configured, the task is abandoned, or the answer is incoherent.",,Already present in prod-conversation.goldens.jsonl
none-cd2602c4-create-a-policy-that-no-pipeline-can-be-,cd2602c4-6da1-4ae0-a007-b7bae411ce85,create a policy that no pipeline can be named thundercat,none,prod2,prod-conversation.goldens.jsonl,good,ready,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,1.0,1.0,1.0,1.0,1.0,1,156-prod2-none-cd2602c4.conversation.json,156-prod2-none-cd2602c4.md,The assistant completes the request: create a policy that no pipeline can be named thundercat,"The agent successfully created a Rego policy to prevent pipelines from being named 'thundercat', as requested by the user. The agent provided a clear explanation of the policy, example violations, and instructions on how to implement it. The tool use was appropriate and supported the task completion.",Already present in prod-conversation.goldens.jsonl
