conversation_id,original_prompt,environment,module,session_turns,session_cost_usd,usefulness,quality,golden_readiness,tool_use_quality,reasoning,eval_candidate_score,eval_candidate_reasoning,eval_candidate_hits,criterion_high_turns,criterion_high_cost,criterion_high_tool_count,criterion_large_tool_output,criterion_tool_failure,criterion_skill_loading,criterion_hitl_loop,criterion_multi_turn,criterion_write_flow,criterion_read_only,human_quality,human_golden_readiness,human_notes,agreement,notes
4d78d8dd-7e6d-4429-aca8-d7ddcca75bdd,"Can Harness AI support account-wide organisational standards and preferences that are persistent across all chat sessions and all projects within the account?
I would like to define enterprise-wide best practices that Harness AI automatically uses when generating recommendations, pipelines, troubleshooting guidance, and implementation examples.
These standards should:

Be configured once at the account level.
Apply consistently across every project and organisation within the account.
Be session-persistent, meaning they are retained and applied across all future AI conversations without needing to be re-entered.
Be used as the default source of truth when multiple valid options exist.

Examples of account-wide preferences include:

Preferred CI Kubernetes connectors for infrastructure.
Preferred CI Add-On connectors.
Approved build templates for specific technology stacks.
Recommended template versions.
Golden path pipeline patterns.
Standard connectors, environments, and services.
Internal engineering standards, guardrails, and governance requirements.

When providing recommendations, Harness AI should prioritise these account-wide standards over generic best practices and clearly highlight any deviation from the preferred organisational patterns.
The goal is for Harness AI to behave as an organisation-aware engineering assistant, not just a general-purpose AI assistant, by incorporating enterprise-specific standards, patterns, and governance across every project and every conversation.",prod0,ci,41,9.7244,useful,bad,needs_rewrite,0.5,"The conversation is useful as it involves a meaningful task of updating a pipeline with specific tags and saving it to Git. However, the agent failed to achieve the user's goal due to repeated errors in updating the pipeline and handling Git operations. The agent did not successfully update the pipeline with the new owner tag and save it to the specified branch, despite multiple attempts. The errors were related to Git branch protection and object ID mismatches, which the agent did not resolve effectively. The conversation needs rewriting to remove specific references to the user's GitHub repository and branch names to make it portable.",4,"Score 4.0/5 (8/10 criteria matched):
- high_turns: yes — 41 turns
- high_cost: yes — $9.72
- high_tool_count: yes — 22 tool calls
- large_tool_output: yes — 4 truncated tool outputs
- tool_failure: yes — no failed tools detected
- skill_loading: no — no skills launched
- hitl_loop: yes — Repeated Git operation questions
- multi_turn: yes — 41 turns
- write_flow: yes — Updated pipeline with new tag
- read_only: no",8,yes,yes,yes,yes,yes,no,yes,yes,yes,no,,,,,"memory, opa, multiple update pipeline failures, no user response, need to check if it took the optimised path"
bd0d9d51-24a5-49d3-a863-5592d34f7a22,Let's create a Cost Category,prod3,ce,10,2.7853,useful,good,needs_rewrite,1,"The agent successfully guided the user through creating a cost category based on the 'tru-portfolio' tag. It handled user inputs, fetched necessary data, and created the cost category as requested. The conversation is useful as it demonstrates a complete task flow. However, it needs rewriting for golden readiness due to specific references to 'tru-portfolio' and other production-specific identifiers.",4.5,"Score 4.5/5 (9/10 criteria matched):
- high_turns: yes — 10 turns
- high_cost: yes — $2.79
- high_tool_count: yes — 30 tool calls
- large_tool_output: yes — 6 truncated tool outputs
- tool_failure: yes — AskUserQuestion failed once; Read failed 3 times
- skill_loading: yes — ccm_cost_categories (with load errors)
- hitl_loop: yes — Repeated question at turns 11 and 12
- multi_turn: yes — 10 turns
- write_flow: yes — Created cost category
- read_only: no",9,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,"Skill loading errors, unable to read large output file"
dd7b1ac5-0742-4426-bbcf-1a92ad1a3e22,czy moge z tego pipeline uruchomic inny?,prod1,cd,13,6.8331,useful,good,needs_rewrite,1,"The agent successfully guided the user through the process of setting up pipeline chaining and handling rollback strategies in Harness. Despite encountering errors, the agent adapted and found a solution that met the user's requirements. The conversation is useful as it demonstrates a complex task being completed with the agent's assistance. However, it needs rewriting for golden readiness due to specific project and organization identifiers.",4.5,"Score 4.5/5 (9/10 criteria matched):
- high_turns: yes — 13 turns
- high_cost: yes — $6.83
- high_tool_count: yes — 19 tool calls
- large_tool_output: yes — 2 truncated tool outputs
- tool_failure: yes — AskUserQuestion failed once; harness_schema failed once; harness_update failed once
- skill_loading: yes — harness_documentation
- hitl_loop: yes — Repeated user question at turns 3, 7, 9, 29, 32
- multi_turn: yes — 13 turns
- write_flow: yes — Updated pipeline with new stages
- read_only: no — Not applicable",9,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,usecase for pipeline chaining
321afdfe-5f42-496b-85d6-7f68b942546c,"How would I enforce max concurrency limit to 3 on this yaml file? When I have parallelism set to true, the max concurrency default is 256 and when I turn it off, concurrency limit is 1. How can I set the value of 3 in this yaml?",prod0,ci,10,6.2011,useful,bad,needs_rewrite,0.5,"The user's goal was to set a max concurrency limit of 3 in a YAML file for a multi-service deployment. The agent initially provided incorrect information about where to place the `maxConcurrency` setting. Despite multiple attempts and tool calls, the agent failed to provide a working solution, as the user repeatedly reported that the changes did not work. The agent's final suggestion to use a matrix strategy was not implemented, and the conversation ended without resolving the user's issue. The agent's tool use was partially effective in identifying schema limitations but ultimately did not lead to a successful outcome.",4.5,"Score 4.5/5 (9/10 criteria matched):
- high_turns: yes — 10 turns
- high_cost: yes — $6.20
- high_tool_count: yes — 19 tool calls
- large_tool_output: yes — 8 truncated tool outputs
- tool_failure: yes — harness_schema failed once
- skill_loading: yes — harness_documentation
- hitl_loop: yes — Repeated questions about concurrency settings
- multi_turn: yes — 10 turns
- write_flow: yes — Updated pipeline configuration
- read_only: no — Not applicable",9,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,"seems to be unoptimized, too many trial and errors, repeated response, good pipeline usecase, unsure about whether entity review card was present"
83d5419d-3638-41ea-8954-9d4580b921c4,"I want to create a new pipeline to launch ec2 instance. Please generate me the yaml, and main.tf. I will use a Git connector, and AWS connector, please let me choose from the organization level connectors.",prod3,cd,5,2.0848,useful,bad,needs_rewrite,0.5,"The user's goal was to create a new pipeline to launch an EC2 instance using Terraform, with specific connectors. The agent attempted to fulfill this request by generating the necessary files and creating a pipeline. However, the agent encountered multiple errors related to policy violations and template requirements, and ultimately failed to create the pipeline. The agent did provide the user with the Terraform and YAML files to manually commit, but this does not fully satisfy the user's request to automate the pipeline creation. The conversation includes specific organization-level resources, indicating a need for rewriting for portability.",4,"Score 4.0/5 (8/10 criteria matched):
- high_turns: no — 5 turns
- high_cost: yes — $2.08
- high_tool_count: yes — 32 tool calls
- large_tool_output: yes — 5 truncated tool outputs
- tool_failure: yes — AskUserQuestion failed 2 times; Read failed once; harness_create failed 3 times
- skill_loading: yes — harness_platform_conventions (with load errors)
- hitl_loop: yes — Repeated HITL questions after user answered
- multi_turn: yes — 5 turns
- write_flow: yes — Created pipeline and Terraform files
- read_only: no",8,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,"skill read failure, multiple input validation error, template creation failure"
8a3b7cb0-a66b-48fa-94c4-6f7e53b2cc0b,"I need to create a pipeline to have all github repositories scanned and reports avaiable in Harness SCS module. This pipeline needs to run daily at 12 PM EST and scan all repositories that were touched in last 24 hours. I also want to execute this once to pull results for all 1k + repositories' results to show up once and then this daily job taking care of the new changes in last 24 hours to repos. Sample gh api call for reference. Need a cron trigger. we also have git experience enabled so provide me the pipeline script I can push to github. if you prefer to do it ask me for the connectore with a pre-populated list of connectors for me to chose from.

gh api search/repositories \
  -X GET \
  -f q=""org:SGWSHUB pushed:>=$(date -u -v-24H +%Y-%m-%dT%H:%M:%SZ)"" \
  --jq '.items[].full_name'",prod2,ssca,4,2.4533,useful,bad,needs_rewrite,0.5,"The user's goal was to create a pipeline for scanning GitHub repositories and making results available in Harness SCS, with a cron trigger for daily execution. The agent attempted to fulfill this request by creating a pipeline, but encountered multiple schema validation errors during the process. Although the agent made several attempts to correct these errors, the final outcome of the pipeline creation is not confirmed as successful. The agent's tool use was partially effective, as it identified existing pipelines and attempted to correct errors, but ultimately failed to deliver a working solution.",4,"Score 4.0/5 (8/10 criteria matched):
- high_turns: no — 4 turns
- high_cost: yes — $2.45
- high_tool_count: yes — 18 tool calls
- large_tool_output: yes — 1 truncated tool output
- tool_failure: yes — harness_create failed 2 times
- skill_loading: yes — harness_platform_conventions, scs_routing, scs_workflows
- hitl_loop: yes — Repeated user questions for connector and infrastructure
- multi_turn: yes — 4 turns
- write_flow: yes — Created pipeline with cron trigger
- read_only: no",8,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,primarily tool failure
8710e2d8-ac9a-4355-9d37-558661053812,How can I get the unique component names used in all repos of a particular project ?,prod3,code,2,14.1885,useful,bad,needs_rewrite,0.5,"The agent attempted to fulfill the user's request to find unique component names across all repos in a project but encountered multiple issues. The agent faced authentication errors, timeouts, and failed searches, which prevented it from achieving the user's goal. The agent did not provide a successful resolution or a clear path forward. The conversation is not ready for golden because it contains specific project identifiers and URLs that need to be generalized.",3.5,"Score 3.5/5 (7/10 criteria matched):
- high_turns: no — 2 turns
- high_cost: yes — $14.19
- high_tool_count: yes — 42 tool calls
- large_tool_output: yes — 18 truncated tool outputs
- tool_failure: yes — Read failed 2 times; harness_get failed once; harness_list failed 2 times
- skill_loading: yes — hql_reference, scs_routing (with load errors)
- hitl_loop: no
- multi_turn: yes — 2 turns
- write_flow: no
- read_only: yes — listed and searched components",7,no,yes,yes,yes,yes,yes,no,yes,no,yes,,,,,
8e709798-4459-4560-b0ee-f378d587e858,Check what all templates have references and are actively being used in pipelines,prod2,cd,1,18.6276,useful,bad,needs_rewrite,0.2,"The user's request to identify templates actively used in pipelines was not fulfilled. The agent attempted multiple approaches, including querying the Knowledge Graph and searching pipeline YAMLs, but faced authentication issues and scope limitations. Despite extensive tool use, the agent failed to provide a conclusive list of templates actively used in pipelines. The conversation is not ready for golden as it contains specific account identifiers and URLs that need to be generalized.",3,"Score 3.0/5 (6/10 criteria matched):
- high_turns: no — 1 turn
- high_cost: yes — $18.63
- high_tool_count: yes — 46 tool calls
- large_tool_output: yes — 20 truncated tool outputs
- tool_failure: yes — Grep failed once; harness_batch_execute_hql failed once; harness_batch_validate_hql failed once; harness_execute failed once; harness_get failed 2 times
- skill_loading: yes — hql_reference, kg_analysis
- hitl_loop: no — No repeated questions
- multi_turn: no — 1 turn
- write_flow: no — No changes made
- read_only: yes — Listed and analyzed templates",6,no,yes,yes,yes,yes,yes,no,no,no,yes,,,,,multiple greps
c3a0ef7a-e265-4600-b30f-c9168e7bf213,I want to create a service via DCP-UI Golden Path,prod2,idp,8,4.6349,useful,bad,needs_rewrite,0.5,"The user's goal was to create a service via the DCP-UI Golden Path. The agent attempted to assist by searching for relevant workflows and gathering necessary information. However, it failed to execute the workflow due to permission issues and API configuration errors. The agent did not successfully complete the task, as it ultimately instructed the user to perform the task manually via the UI. The conversation contains specific references to production resources, indicating a need for rewriting for portability.",4,"Score 4.0/5 (8/10 criteria matched):
- high_turns: no — 8 turns
- high_cost: yes — $4.63
- high_tool_count: yes — 27 tool calls
- large_tool_output: yes — 6 truncated tool outputs
- tool_failure: yes — AskUserQuestion failed once
- skill_loading: yes — idp_information_retrieval, harness_documentation
- hitl_loop: yes — Repeated questions after user answered
- multi_turn: yes — 8 turns
- write_flow: yes — Executed service creation workflow
- read_only: no",8,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,"input validation error, repeated ques due to that"
05a00448-649b-4feb-9765-dc7943da1976,is there a way to track lead time to change on versions that have deployed to production in a panel/widget here?,prod1,none,7,16.5014,useful,good,needs_rewrite,1,"The agent successfully created a widget to track lead time to change for versions deployed to production. It handled multiple user requests, including filtering by environment names and adjusting queries to ensure data availability. The agent also resolved issues related to time filtering and widget configuration, ultimately achieving the user's goal of displaying historical promotion data without time constraints.",4,"Score 4.0/5 (8/10 criteria matched):
- high_turns: no — 7 turns
- high_cost: yes — $16.50
- high_tool_count: yes — 46 tool calls
- large_tool_output: yes — 17 truncated tool outputs
- tool_failure: yes — Read failed 3 times
- skill_loading: yes — hql_reference, dashboard_builder (with load errors)
- hitl_loop: yes — Repeated widget loading attempts
- multi_turn: yes — 7 turns
- write_flow: yes — Created and edited widgets
- read_only: no",8,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,
